City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
300,Krasnoselkup,RU,65.7,82.4667,-11.33,95,84,9.28,broken clouds
301,Henties Bay,NA,-22.116,14.2845,65.16,74,48,8.08,scattered clouds
302,Duba-Yurt,RU,43.0372,45.7319,49.17,46,88,4.12,overcast clouds
303,Norden,DE,53.6,7.2,41.95,97,100,1.01,light rain
304,Muli,MV,2.9167,73.5667,81.81,75,94,13.06,overcast clouds
305,Odweyne,SO,9.4092,45.064,81.37,29,37,2.21,scattered clouds
306,Laguna,US,38.421,-121.4238,53.01,84,0,5.75,clear sky
307,Geraldton,AU,-28.7667,114.6,68.41,56,75,19.57,broken clouds
308,Arona,ES,28.0996,-16.681,71.98,55,0,11.5,clear sky
309,Grand Gaube,MU,-20.0064,57.6608,79.2,57,5,4.0,clear sky
310,Omboue,GA,-1.5746,9.2618,74.77,93,100,6.17,moderate rain
311,Asyut,EG,27.181,31.1837,72.1,33,100,8.68,overcast clouds
312,Veraval,IN,20.9,70.3667,87.46,36,0,2.68,clear sky
313,Salto,UY,-31.3833,-57.9667,66.87,77,40,6.55,scattered clouds
314,Azanka,RU,58.0401,64.7893,5.2,75,10,1.52,clear sky
315,Antofagasta,CL,-23.65,-70.4,61.88,90,39,1.48,scattered clouds
316,Aswan,EG,24.0934,32.907,74.28,32,100,10.69,overcast clouds
317,Sechura,PE,-5.5569,-80.8222,64.26,84,100,10.38,overcast clouds
318,Hobyo,SO,5.3505,48.5268,84.67,63,14,15.88,few clouds
319,Severodvinsk,RU,64.5635,39.8302,26.71,90,97,5.82,overcast clouds
320,Gamba,GA,-2.65,10.0,75.54,87,98,8.3,light rain
321,Porto Santo,PT,33.072,-16.3415,68.38,94,40,5.75,scattered clouds
322,Tabuk,PH,17.4189,121.4443,79.92,81,43,1.45,scattered clouds
323,Mezhdurechensk,RU,53.6942,88.0603,24.57,93,100,6.73,light snow
324,Beaufort,MY,5.3473,115.7455,81.21,90,98,2.46,overcast clouds
325,Elizabeth City,US,36.2946,-76.2511,45.01,70,0,10.36,clear sky
326,Matara,LK,5.9485,80.5353,85.06,60,11,7.49,few clouds
327,Savinka,RU,50.0785,47.0994,38.86,92,100,11.61,overcast clouds
328,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.15,80,100,16.24,overcast clouds
329,Arvika,SE,59.6553,12.5852,32.61,76,90,8.16,overcast clouds
330,Glace Bay,CA,46.1969,-59.957,56.89,96,100,24.16,mist
331,Khash,IR,28.2211,61.2158,71.85,23,3,7.45,clear sky
332,Santa Ana,US,33.7456,-117.8678,66.34,19,0,5.75,clear sky
333,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,51,0,9.22,clear sky
334,Marseille,FR,43.3333,5.5,61.84,74,41,7.23,scattered clouds
