City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Chuy,UY,2022-11-01 09:00:58,-33.6971,-53.4616,48.81,66,89,6.96
174,Mogapi,BW,2022-11-01 09:00:58,-22.323,27.8349,63.32,83,100,15.21
175,Barreirinhas,BR,2022-11-01 09:00:59,-2.7469,-42.8264,77.11,86,100,7.83
176,Faanui,PF,2022-11-01 09:00:59,-16.4833,-151.75,76.41,88,100,19.8
177,Henties Bay,NA,2022-11-01 08:53:41,-22.116,14.2845,63.32,76,33,9.82
178,Bacsay,PH,2022-11-01 09:01:00,15.65,120.3333,79.59,82,100,3.51
179,Aracoiaba,BR,2022-11-01 09:01:01,-4.3711,-38.8142,75.74,80,94,5.01
180,Tuensang,IN,2022-11-01 09:01:02,26.2833,94.8333,77.14,43,0,4.0
181,Nambucca Heads,AU,2022-11-01 09:01:02,-30.65,153.0,69.8,55,12,8.1
182,Mogadishu,SO,2022-11-01 09:01:03,2.0371,45.3438,81.63,71,76,9.22
183,Bambous Virieux,MU,2022-11-01 08:55:16,-20.3428,57.7575,80.85,57,75,12.66
184,Japura,ID,2022-11-01 09:01:05,-0.3167,102.35,85.32,70,90,3.11
185,Hofn,IS,2022-11-01 09:01:15,64.2539,-15.2082,41.34,52,3,6.22
186,Ambovombe,MG,2022-11-01 09:02:05,-25.1667,46.0833,83.97,58,11,10.63
187,Srednekolymsk,RU,2022-11-01 09:02:07,67.45,153.6833,-22.67,100,43,2.1
188,Lata,PT,2022-11-01 09:02:07,40.1629,-8.3327,51.08,84,3,2.39
189,Tucurui,BR,2022-11-01 09:02:08,-3.7661,-49.6725,75.18,87,83,4.03
190,Port Elizabeth,ZA,2022-11-01 08:54:50,-33.918,25.5701,68.31,65,20,14.97
191,Ukiah,US,2022-11-01 09:02:09,39.1502,-123.2078,53.1,90,40,1.01
192,Massakory,TD,2022-11-01 09:02:10,12.996,15.7293,91.31,16,57,19.93
193,Gizo,SB,2022-11-01 09:02:11,-8.103,156.8419,83.08,73,12,2.01
194,Verkhoyansk,RU,2022-11-01 09:02:11,67.5447,133.385,-3.14,95,100,0.94
195,Orocue,CO,2022-11-01 09:02:12,4.7912,-71.3354,74.32,93,87,4.36
196,Ponta Delgada,PT,2022-11-01 09:02:13,37.7333,-25.6667,61.52,77,20,5.75
197,Red Wing,US,2022-11-01 09:01:09,44.5625,-92.5338,48.81,58,56,4.0
198,Pisco,PE,2022-11-01 09:02:13,-13.7,-76.2167,57.15,91,2,0.22
199,Bani,DO,2022-11-01 09:02:14,18.2833,-70.3333,76.86,84,100,6.22
200,Dryden,CA,2022-11-01 09:02:14,49.7833,-92.7503,41.65,76,100,1.52
